First Period,last Period,Risk Free Rate,Estimated Volatility,Avg Abs Err,Avg Perc Err
2015-08-27,2018-03-20,0.0301,0.04957899848807805,0.2905011495272732,0.23497505081694017
2015-09-25,2018-03-20,0.0301,0.04810872582079727,0.2877061493626135,0.23492584960445628
2015-10-23,2018-03-20,0.0301,0.04785206150592287,0.2878325491832803,0.23515863725695615
2015-11-20,2018-03-20,0.0301,0.046491617498118344,0.29310119754892655,0.2375878662387152
2015-12-21,2018-03-20,0.0301,0.04591356194610596,0.2979530280412997,0.23928887884480263
2016-01-21,2018-03-20,0.0301,0.04444943786867925,0.31538534746711333,0.24520843355407304
2016-02-19,2018-03-20,0.0301,0.04010435864382022,0.39786196856041667,0.2761207249514276
2016-03-18,2018-03-20,0.0301,0.03995853455901035,0.40115107581124465,0.277430917637393
2016-04-18,2018-03-20,0.0301,0.03989592887543954,0.40257056260265767,0.2779987038248842
2016-05-16,2018-03-20,0.0301,0.03690468959461857,0.47784783711523954,0.30926239494943286
2016-06-14,2018-03-20,0.0301,0.03758735031162754,0.45912758002425863,0.30126281911452757
2016-07-13,2018-03-20,0.0301,0.03779875714283446,0.4535152083337979,0.2988976302075652
2016-08-10,2018-03-20,0.0301,0.0359614187178477,0.5049560934584422,0.32131169633926354
2016-09-08,2018-03-20,0.0301,0.03691580314041437,0.4775374791284548,0.3091281218006957
2016-10-06,2018-03-20,0.0301,0.0355591019025849,0.5169470520850942,0.32685692690267104
2016-11-03,2018-03-20,0.0301,0.036171669367139836,0.4987908102843207,0.31852406536810296
2016-12-02,2018-03-20,0.0301,0.03585598310631846,0.508075807753295,0.32273824677193724
2017-01-03,2018-03-20,0.0301,0.037357430688052036,0.46534181787066065,0.3039015900620444
2017-02-01,2018-03-20,0.0301,0.03641808806662699,0.4916515611173559,0.3153257850625248
2017-03-02,2018-03-20,0.0301,0.038300471862495744,0.44062143962524286,0.29351362974411793
2017-03-30,2018-03-20,0.0301,0.04038805288442909,0.3915532000957503,0.2736260932695156
2017-04-28,2018-03-20,0.0301,0.0432413204091796,0.3346531446712486,0.2521592810039383
2017-05-26,2018-03-20,0.0301,0.04350134480397195,0.3301604640742459,0.25052811149471266
2017-06-26,2018-03-20,0.0301,0.04258085367633621,0.3466221184562031,0.25653562710512534
2017-07-25,2018-03-20,0.0301,0.04561814022422945,0.30089965620782033,0.2402806344086926
2017-08-22,2018-03-20,0.0301,0.04185325731401256,0.36068004677162263,0.2617375443436647
2017-09-20,2018-03-20,0.0301,0.045179278958050316,0.30580258171897706,0.24193328050652083
2017-10-18,2018-03-20,0.0301,0.050055777923066896,0.29247182122972176,0.23555512295620992
2017-11-15,2018-03-20,0.0301,0.04938592729739042,0.28984543221756787,0.23482122433194666
